institution_name,location,region,size,focus,res,status,rank_2025,rank_2024,overall,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,rank_update
Universiti Malaysia Terengganu (UMT),Malaysia,Asia,Medium,Foucsed,Very High,Public,1001,1001,12.2,10.5,4.3,12,12.2,11.1,12.1,50.2,3.7,18.2,0
Universiti Tun Hussein Onn University of Malaysia (UTHM),Malaysia,Asia,Large,Comprehensive,Very High,Public,1001,1001,10.26,10.3,6.2,9.9,8.6,6.3,6.5,43.8,3.8,10.3,0
University of Arkansas Fayetteville,United States,Americas,Large,Comprehensive,Very High,Public,1001,1001,9.2,5.8,3.5,6.3,11.9,4.8,3,51.6,15.4,3.8,0
University of Derby,United Kingdom,Europe,Large,Comprehensive,High,Public,1001,1001,10.49,4.8,4.8,10.7,5.1,29.1,45.5,45.7,2.1,2.4,0
University of Deusto,Spain,Europe,Medium,Foucsed,Very High,Public,1001,1001,12.12,6.3,24.9,4.6,7.8,4.7,14.5,24.2,45,1.1,0
University of Hradec Kralove,Czech Republic,Europe,Medium,Foucsed,Very High,Public,1001,1001,10.25,5,2.5,22.4,5.4,51.4,3.2,41.3,4.2,1,0
University of Ibadan,Nigeria,Africa,Extra Large,Comprehensive,High,Public,1001,1401,13.33,9.9,7.8,5.2,3.5,12.5,9.6,65.8,69.3,2.2,400
University of Idaho,United States,Americas,Medium,Comprehensive,Very High,Public,1001,1001,11.15,3.1,1.4,9.9,32.6,4.6,5.9,32.5,3.5,3.4,0
University of Ioannina,Greece,Europe,Extra Large,Full Comprehensive,High,Public,1001,1001,10.34,7.2,3.8,1.5,19.5,1.7,2.5,61.3,3.6,2,0
University of Karachi,Pakistan,Asia,Extra Large,Comprehensive,High,Public,1001,1001,11.31,11.6,16.1,1.6,4.9,3.5,1.1,36.8,42.8,1.2,0
University of Khartoum,Sudan,Africa,Large,Full Comprehensive,Medium,Public,1001,1201,10.32,6.1,4,6.7,2.6,12.5,1.4,45,74.1,1,200
University of Lagos,Nigeria,Africa,Extra Large,Comprehensive,High,Public,1001,1401,11.64,8.4,7.5,2.2,2.6,12.5,9.6,34,87.6,1.3,400
University of Louisville,United States,Americas,Large,Full Comprehensive,High,Public,1001,1001,10.84,3.5,3.2,30.5,7.7,24.8,3.2,59,5.1,2.4,0
University of Massachusetts Boston,United States,Americas,Large,Foucsed,Very High,Public,1001,801,12.51,11,7.7,9.8,19.7,4.5,14.8,32.2,2.9,8.4,-200
University of Missouri  Kansas City,United States,Americas,Medium,Comprehensive,Very High,Public,1001,1001,9.88,4.4,4.4,14.3,16.9,4.1,20,29.3,6.6,1.8,0
University of Naples Parthenope,Italy,Europe,Medium,Foucsed,Very High,Public,1001,1001,12.2,3.8,1.9,3.3,42.4,1.7,2.1,30.8,1.7,3,0
University of New England Australia,Australia,Oceania,Large,Comprehensive,Very High,Public,1001,951,12.17,10.7,7.2,3.7,14.7,4.6,3.3,62.9,9.8,10.8,-50
University of New Hampshire,United States,Americas,Large,Comprehensive,Very High,Public,1001,1001,9.91,5,4.1,12.2,16.9,7,2.5,41.7,7.1,5.5,0
University of North Carolina at Charlotte,United States,Americas,Large,Comprehensive,Very High,Public,1001,1001,10.18,5.1,5.8,5,13.4,8.7,6.2,65,7.8,4.2,0
University of North Texas,United States,Americas,Extra Large,Full Comprehensive,High,Public,1001,1001,12.13,6.9,5,3.1,17.2,3.5,24.8,58,21.1,3.8,0
University of Novi Sad,Serbia,Europe,Extra Large,Full Comprehensive,High,Public,1001,1001,11.2,8.4,5.9,8.8,3.6,12.5,9.6,79.4,21.3,1.2,0
University of Rhode Island,United States,Americas,Large,Comprehensive,Very High,Public,1001,1001,12.24,5.6,3.5,6.7,16.2,5.2,2.6,48.9,11.8,54.1,0
University of Sarajevo,Bosnia and Herzegovina,Europe,Large,Comprehensive,High,Public,1001,1201,9.72,4.4,1.6,4.6,1.9,12.5,2.8,46.5,83.6,1,200
University of Seoul,South Korea,Asia,Medium,Comprehensive,Very High,Public,1001,951,12.52,11,9.7,36.7,8.8,5.5,6.9,24,5.3,4.9,-50
University of Tabuk,Saudi Arabia,Asia,Large,Full Comprehensive,High,Public,1001,708.5249663,11.18,5.2,2.4,18.7,3,92.4,2.2,38,2.2,1,-292.4750337
University of Texas at San Antonio,United States,Americas,Large,Foucsed,Very High,Public,1001,1001,11.24,6,3,3.9,22.8,8.8,2.7,60.5,5.1,3.8,0
University of Texas El Paso,United States,Americas,Large,Foucsed,Very High,Public,1001,1001,9.44,4.4,2.6,5.7,14.2,9,5.3,66.2,3,2.9,0
University of the Free State,South Africa,Africa,Large,Foucsed,Very High,Public,1001,1001,10.93,6.1,5.8,3.4,8.8,12.5,4.4,92.4,11.6,1.7,0
University of the Sunshine Coast,Australia,Oceania,Large,Comprehensive,High,Public,1001,1001,10.44,3.6,1.9,2.6,25.2,2.7,16.4,48.3,1.6,6.5,0
University of Toledo,United States,Americas,Large,Full Comprehensive,High,Public,1001,1001,9.72,3.7,3,9.6,18.2,6,10.4,45.4,7.7,1.7,0
University of Tulsa,United States,Americas,Small,Comprehensive,Very High,Private,1001,1001,10.09,3.2,2.1,35.1,11.5,7,17.8,20.4,13.7,1.1,0
University of Vermont,United States,Americas,Large,Full Comprehensive,High,Public,1001,901,12.35,3.1,2.2,34.9,15.6,6.8,2.4,62.8,9.5,8.1,-100
University of Warmia and Mazury in Olsztyn,Poland,Europe,Large,Foucsed,Very High,Public,1001,1201,9.78,6.9,8.9,28.6,3.7,2,2.7,40.6,3.2,7.1,200
University of Wolverhampton,United Kingdom,Europe,Large,Comprehensive,High,Public,1001,1001,11.76,3.2,2.7,10.2,8.3,33.3,69.2,45.7,4.7,1.3,0
University of Wyoming,United States,Americas,Medium,Comprehensive,Very High,Public,1001,1001,11.92,3.2,1.6,28.4,21.1,6.8,4,52.2,6.5,3.6,0
University of ilina,Slovakia,Europe,Medium,Foucsed,Very High,Public,1001,1001,11.23,6.6,1.8,60.1,6.6,2,6,19.3,4.6,1,0
Utah State University,United States,Americas,Large,Comprehensive,Very High,Public,1001,1001,10.8,6.2,2,5.4,22.4,1.1,1.6,54.7,7.6,7.4,0
VSB - Technical University of Ostrava,Czech Republic,Europe,Medium,Foucsed,Very High,Public,1001,1001,11.09,6,10.5,18.6,4.7,11.3,28.3,50.2,3.9,4.6,0
Warsaw University of Life Sciences  SGGW (WULS-SGGW),Poland,Europe,Large,Foucsed,Very High,Public,1001,1001,10.53,6.6,4.4,18.8,6.8,2.3,6.4,74.4,3,6.9,0
West Virginia University,United States,Americas,Large,Full Comprehensive,Very High,Public,1001,901,12.25,5.6,4.7,12.8,18.5,5.8,4.2,66.7,14.3,6.7,-100
Xi'an Jiaotong Liverpool University,China (Mainland),Asia,Large,Comprehensive,High,Private,1001,1001,10.2,4.2,1.9,6.2,5.6,94.8,2.8,37.8,1.5,1.5,0
Yokohama National University,Japan,Asia,Medium,Comprehensive,Very High,Public,1001,951,11.65,9.3,16.4,18.3,6.6,10.1,7.8,26.5,17.8,2.8,-50
Al-Balqa Applied University,Jordan,Asia,Large,Full Comprehensive,High,Public,1201,1401,6.43,5.8,6.6,4.8,2.7,7.6,2.5,32.9,3.9,6.7,200
Alexandru Ioan Cuza University,Romania,Europe,Large,Foucsed,Very High,Public,1201,1201,8.72,7.5,11.9,5.5,3,3.5,9.6,40.2,14.3,3.2,0
Anadolu University,Turkey,Asia,Large,Foucsed,High,Public,1201,1201,5.74,4.9,3.9,13.1,2.6,1.8,2.9,17.5,13.9,1,0
Aoyama Gakuin University,Japan,Asia,Large,Comprehensive,Medium,Private,1201,1201,6.34,7,10.9,5.2,1.8,15.4,2.5,6.2,9.5,1,0
Ataturk University,Turkey,Asia,Extra Large,Specialist,Very High,Public,1201,1401,6.2,5.8,2.3,2.9,4.4,3.2,7.4,39.4,7.8,1.1,200
Atma Jaya Catholic University Jakarta,Indonesia,Asia,Medium,Foucsed,High,Semi-Autonomous,1201,1201,5.88,6.8,7.7,8.7,1.3,3.4,1.2,7.5,18,1.1,0
Bahauddin Zakariya University,Pakistan,Asia,Extra Large,Comprehensive,High,Public,1201,1201,8.99,6,6.2,1.8,14.6,12.5,1,44.6,4.1,1,0
Beijing Foreign Studies University,China (Mainland),Asia,Medium,Specialist,Very High,Public,1201,1001,7.9,5.7,2.9,25.9,1.5,19.6,25.8,3.4,7.4,1,-200
Beijing University of Chinese Medicine,China (Mainland),Asia,Medium,Foucsed,Very High,Public,1201,1001,8.78,4.4,1.6,37.2,9.4,12.5,8.8,7.1,3,1,-200
Belarusian State University of Informatics and Radioelectronics,Belarus,Europe,Medium,Specialist,Medium,Public,1201,1201,7.84,6.6,17.1,15.3,1.2,1.1,9.3,7.4,5.9,6.75,0
Benemérita Universidad Autónoma de Puebla,Mexico,Americas,Extra Large,Full Comprehensive,High,Public,1201,1201,7.17,13.7,5.4,2.8,1.9,2.8,1.3,24.5,2,1.2,0
Birzeit university,"Palestinian Territory, Occupied",Asia,Medium,Comprehensive,High,Private,1201,1201,7.48,7.6,7.1,4.7,2.8,13.4,4,20.4,23.2,1,0
British University in Egypt,Egypt,Africa,Medium,Comprehensive,High,Semi-Autonomous,1201,1201,6.7,6,5.5,25.7,2.3,2.6,2.6,12,2.6,1,0
Brock University,Canada,Americas,Medium,Comprehensive,Very High,Public,1201,1201,8.42,4,6.3,3,13.7,2.1,23.8,30.9,5.2,2.7,0
Central Michigan University,United States,Americas,Large,Full Comprehensive,High,Public,1201,1201,5.79,3.6,3.4,8.2,6.5,2.4,6.9,23.4,7.7,1.2,0
Chaoyang University of Technology,Taiwan,Asia,Large,Foucsed,Very High,Semi-Autonomous,1201,1201,5.94,5.5,5.8,4.3,3.9,5.6,5.9,26.5,2,4.3,0
China University of Political Science and Law,China (Mainland),Asia,Large,Foucsed,Medium,Public,1201,1201,8.4,2.7,37.6,8,1.2,3.7,1.5,6.1,5.8,1,0
Chitkara University,India,Asia,Large,Comprehensive,High,Private,1201,1201,7.12,6.1,7.4,15.9,2.2,5.5,3,29.4,1.9,3.3,0
Chittagong University of Engineering and Technology,Bangladesh,Asia,Small,Foucsed,Very High,Public,1201,1201,7.52,8.9,12.4,8.3,5.1,1.4,9.6,6.7,4.2,1,0
Cleveland State University,United States,Americas,Medium,Comprehensive,High,Public,1201,1201,6.18,4.1,3.1,9.2,4,4,26.2,16.7,7.3,1,0
Cukurova University,Turkey,Asia,Extra Large,Full Comprehensive,High,Public,1201,1401,6.18,4.9,3.8,5.2,2.6,1.9,3.3,46.2,7.6,2.9,200
CUNY The City College of New York,United States,Americas,Medium,Full Comprehensive,High,Public,1201,1201,8.07,7.2,3,11.9,11.3,6.7,4.7,24.8,1.5,2.5,0
Daffodil International University,Bangladesh,Asia,Large,Foucsed,Very High,Private,1201,1201,8.61,9.5,19.8,3.8,2.8,5,2.9,22,3.7,3.4,0
Damascus University,Syrian Arab Republic,Asia,Extra Large,Full Comprehensive,Medium,Public,1201,1201,8.75,6.1,3.7,1.4,1.2,4,6,18.4,90.2,1.1,0
Dokuz Eylül Üniversitesi,Turkey,Asia,Extra Large,Full Comprehensive,High,Public,1201,1201,7.62,6.8,7.8,3.5,2.1,2.5,10.7,34.7,6,18.8,0
Doshisha University,Japan,Asia,Large,Comprehensive,High,Private,1201,1001,8.18,8.6,11.4,5.2,1.8,17.6,3.7,18.7,19.1,1,-200
Erciyes Üniversitesi,Turkey,Asia,Extra Large,Full Comprehensive,High,Public,1201,1201,6.25,4.4,3,2,5.3,3.1,5.7,45.1,1.7,8.8,0
Escuela Politécnica Nacional,Ecuador,Americas,Medium,Foucsed,Very High,Public,1201,1001,7.18,6.9,9.2,16.6,3.4,5,1.6,14.9,5,1.3,-200
Feng Chia University,Taiwan,Asia,Large,Foucsed,Very High,Semi-Autonomous,1201,1201,8.64,10.8,7.9,4.4,6.1,3.4,4.4,11.2,15.5,16.7,0
Florida Atlantic University - Boca Raton,United States,Americas,Large,Full Comprehensive,High,Public,1201,1201,8.02,4.7,6.2,4.9,9.5,6.8,4.4,44.3,5.8,4.5,0
Fu Jen Catholic University,Taiwan,Asia,Large,Full Comprehensive,High,Private,1201,1201,8.02,7.6,6.9,3.6,7,7.6,4.2,16.1,27.1,4,0
Fundación CEU San Pablo,Spain,Europe,Large,Comprehensive,High,Public,1201,1001,8.67,4.4,9.4,15.7,2.3,3.8,47.5,15.3,10.5,1,-200
German University in Cairo,Egypt,Africa,Large,Comprehensive,High,Private,1201,1201,7.54,8.3,15.2,7,2.2,13.4,1.1,12.8,4.4,1,0
Hanoi University of Science and Technology,Vietnam,Asia,Extra Large,Foucsed,Very High,Public,1201,1201,7.22,7.3,7.3,2.4,4.7,4.2,1.2,23.1,23.1,3.4,0
Harper Adams University,United Kingdom,Europe,Small,Comprehensive,High,Public,1201,1001,6.75,4.2,10.3,6.1,6.9,17.4,7.6,11.6,1.5,1,-200
Helwan University,Egypt,Africa,Extra Large,Comprehensive,High,Public,1201,1201,8.13,7.3,12.4,3.6,1.6,1.1,1.6,50.7,13.2,1.5,0
Hongik University,South Korea,Asia,Large,Foucsed,Very High,Semi-Autonomous,1201,1201,5.96,4.2,5.6,9.8,3,16,9.6,14.2,4.8,1,0
Hue University,Vietnam,Asia,Extra Large,Comprehensive,High,Public,1201,708.5249663,6.6,4.6,12.9,3,1.6,4.8,1.4,41.6,4.5,1.1,-492.4750337
Instituto Tecnológico de Santo Domingo (INTEC),Dominican Republic,Americas,Medium,Foucsed,Medium,Public,1201,1001,7.86,1.6,4,35.4,1.4,10,4.1,5.6,38.5,1,-200
Istanbul Aydin University,Turkey,Asia,Large,Comprehensive,Medium,Private,1201,1201,6.9,4.9,3,12.3,1.4,6.7,52.1,7.3,2.1,1.1,0
Istanbul Bilgi Üniversitesi,Turkey,Asia,Medium,Foucsed,High,Private,1201,1201,6.07,4.9,4.3,13.3,1.7,3.5,20.2,6.5,13.3,2.2,0
Ivan Franko National University of Lviv,Ukraine,Europe,Large,Comprehensive,High,Public,1201,1201,8.71,5.7,12.8,30.2,1.3,1.3,1.5,12.6,18.6,2,0
Izmir Institute of Technology (IZTECH),Turkey,Asia,Medium,Comprehensive,High,Public,1201,1201,6.27,7.2,4.4,5.8,8.2,3.2,2.1,15.5,2.1,1.6,0
Jahangirnagar University,Bangladesh,Asia,Large,Foucsed,Very High,Public,1201,1201,9.18,9.7,12.7,4,5.7,12.5,9.6,29.4,3.8,1.1,0
Jamia Hamdard,India,Asia,Medium,Comprehensive,Very High,Public,1201,1201,6.67,5.1,1.8,8.4,12.6,12.5,2.1,12.7,1.9,1,0
Jeju National University,South Korea,Asia,Medium,Full Comprehensive,Very High,Public,1201,1201,8.41,3.6,1.9,30,7,7.5,5.5,23.1,1.8,15,0
Kazakh Ablai Khan University of International Relations and World Languages,Kazakhstan,Asia,Medium,Specialist,Low,Public,1201,1001,8.99,7.7,9,40.4,1,6.6,4.1,1,3.4,6.75,-200
Kazan National Research Technological University,Russia,Europe,Large,Foucsed,Very High,Public,1201,1001,6.68,5.7,4.1,18.9,1.4,2.7,29.6,7.2,3.1,1,-200
Kenyatta University,Kenya,Africa,Extra Large,Foucsed,High,Public,1201,1201,6.85,7,7.4,1.5,1.3,12.5,9.6,13.1,28.4,1,0
Kharkiv National University of Radio Electronics,Ukraine,Europe,Medium,Foucsed,Very High,Public,1201,1201,6.67,3.9,12.3,21.6,1.5,1.4,5.1,11.9,4.1,1.4,0
Khulna University,Bangladesh,Asia,Medium,Specialist,High,Public,1201,1401,7.17,6.9,5,10.5,5.3,12.5,9.6,17.8,3.8,1,200
Khulna University of Engineering and Technology,Bangladesh,Asia,Medium,Specialist,High,Public,1201,1201,7.12,6.6,11.8,8.7,5.6,12.5,1,9.4,3.7,1,0
Kindai University (Kinki University),Japan,Asia,Extra Large,Full Comprehensive,High,Semi-Autonomous,1201,1201,6.72,5.2,4.3,8.4,4.9,15.7,1.9,32.2,1.8,2.4,0
King Mongkut\'s Institute of Technology Ladkrabang,Thailand,Asia,Large,Foucsed,Very High,Public,1201,1201,6.32,8.3,3.7,4.2,3.1,16.7,2.2,18.5,6.2,1.1,0
King Mongkut's University of Technology North Bangkok,Thailand,Asia,Large,Foucsed,Very High,Public,1201,1201,5.9,8.5,4.9,4.1,3.3,2.8,1.1,23.5,2.5,1.1,0
Kookmin University,South Korea,Asia,Large,Comprehensive,High,Semi-Autonomous,1201,1001,8.27,3.6,4,35.3,2.9,4.9,31.1,7.9,2.9,2.9,-200
Kwame Nkrumah University of Science and Technology,Ghana,Africa,Extra Large,Comprehensive,High,Public,1201,1401,9.56,6.9,6,4.8,2,12.5,9.6,55.3,34.5,2.3,200
Kyoto Institute of Technology,Japan,Asia,Small,Foucsed,Very High,Public,1201,1001,7.82,6.1,3.9,14.4,11.7,11.1,9,9.3,1.9,1.1,-200
Kyrgyz State Technical University,Kyrgyzstan,Asia,Large,Specialist,Low,Public,1201,708.5249663,8.78,14.6,7,12,1,2.6,5.8,1.2,22.6,6.75,-492.4750337
Marquette University,United States,Americas,Medium,Comprehensive,Very High,Private,1201,1201,8.16,3.4,2.4,21.1,9.1,6.2,2.7,35.6,11.2,1.2,0
Meiji University,Japan,Asia,Extra Large,Comprehensive,High,Semi-Autonomous,1201,1001,8,6.7,19.2,4.4,1.6,10.5,4.6,13.4,17.3,1.1,-200
Mendeleev University of Chemical Technology,Russia,Europe,Medium,Foucsed,Very High,Public,1201,1201,6.68,4.5,3.9,24.2,2.8,1.1,9.1,15.3,8.8,1,0
Miami University,United States,Americas,Large,Comprehensive,High,Public,1201,1201,7.26,3.8,5.4,6.2,7.8,3.4,5.5,25.3,26.1,2.2,0
Moscow Pedagogical State University,Russia,Europe,Large,Foucsed,High,Public,1201,1201,5.59,7.8,3.6,7.2,1.3,1.2,23.8,6.8,1.8,1,0
Nagoya Institute of Technology (NIT),Japan,Asia,Medium,Specialist,Very High,Public,1201,1201,7.48,5.7,2.6,7.5,14.5,5.1,4.1,18.3,6,1,0
National Dong Hwa University,Taiwan,Asia,Medium,Comprehensive,High,Public,1201,1201,6.55,9.2,4.5,6.3,5.4,4.9,10.2,9.7,2,1.3,0
National Research University Moscow Power Engineering Institute (MPEI),Russia,Europe,Medium,Foucsed,Very High,Public,1201,1201,8.33,6.9,4,12.8,1.9,6.8,41.6,21,9.5,1,0
National Taipei University,Taiwan,Asia,Medium,Foucsed,High,Public,1201,1201,5.9,7.6,4.5,7.8,2.8,2.6,4.5,5,18.9,1.1,0
National Taiwan Ocean University,Taiwan,Asia,Medium,Foucsed,Very High,Public,1201,1201,8.56,6,3.2,11.9,10.8,7.5,7.6,22.6,3.3,17.5,0
Novosibirsk State Technical University,Russia,Europe,Medium,Foucsed,Very High,Public,1201,1001,8.77,6,6.4,27.6,1.7,1.4,41.7,8.4,5.7,1,-200
Óbuda University,Hungary,Europe,Medium,Foucsed,Very High,Public,1201,1201,7.16,5.5,4.9,2.5,7.8,17.9,7.6,29.1,3.8,1,0
Odessa I.I. Mechnikov National University,Ukraine,Europe,Medium,Foucsed,Very High,Public,1201,1001,8.45,3.9,2.3,55.4,1.3,1.8,3.3,10.3,6.3,1,-200
OSMANIA UNIVERSITY,India,Asia,Medium,Comprehensive,Very High,Public,1201,1201,8.89,5.4,3.7,3.5,21,12.5,5.4,17.2,7.2,1,0
Perm State National Research University,Russia,Europe,Medium,Foucsed,Very High,Public,1201,1201,6.28,4.4,1.7,34.5,1.5,1.4,8.3,6.3,2,1.2,0
Pondicherry University,India,Asia,Medium,Comprehensive,Very High,Public,1201,1201,7.02,4.1,2.1,5.4,16.5,1.9,1.1,21.1,2.7,5.8,0
Pontificia Universidad Catolica Madre y Maestra,Dominican Republic,Americas,Medium,Full Comprehensive,Medium,Private,1201,1201,6.82,4.2,4.1,11.2,1.2,9.4,11.4,4.1,45.7,1,0
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),Brazil,Americas,Medium,Full Comprehensive,High,Private,1201,1201,7.84,6.3,3.9,12.3,9.4,2.6,1.7,30.5,9.2,1.1,0
Portland State University,United States,Americas,Large,Comprehensive,Very High,Public,1201,1201,7.68,4.1,1.7,9.3,9.2,1.6,6.1,44.4,9.7,6.8,0
Pukyong National University,South Korea,Asia,Large,Comprehensive,Very High,Public,1201,1201,8.63,5.7,3.1,12.7,7,6.2,7.1,32.3,1.6,28.4,0
Rajshahi University,Bangladesh,Asia,Large,Comprehensive,High,Public,1201,1401,6.74,10.4,9.8,3.9,3,1,1.1,16.4,3.7,1.1,200
Rikkyo University,Japan,Asia,Large,Foucsed,High,Semi-Autonomous,1201,1201,6.38,4,9.6,8.2,2.1,23.7,5.6,13.7,5.8,1.2,0
Saitama University,Japan,Asia,Medium,Comprehensive,Very High,Public,1201,1201,6,4.9,1.6,11.5,6.8,9.7,4.9,18.1,1.8,1.1,0
Saken Seifullin Kazakh Agrotechnical University,Kazakhstan,Asia,Medium,Foucsed,High,Private,1201,1201,8.44,9.7,9.3,27.8,1.2,10.1,4.2,2.6,3.4,2,0
San Francisco State University,United States,Americas,Large,Comprehensive,High,Public,1201,1201,5.85,4.5,3.1,5.7,4,3.4,5,35.6,7.6,1.7,0
Sathyabama Institute of Science and Technology (deemed to be university),India,Asia,Large,Comprehensive,Very High,Private,1201,1001,7.48,6.8,3.7,24.8,4.3,5.3,3.5,17,1.9,3.1,-200
Seattle University,United States,Americas,Medium,Comprehensive,High,Private,1201,1201,7.9,5.4,6.4,32.2,2.1,1.5,13.2,6.3,10.1,2.4,0
Seoul National University of Science and Technology,South Korea,Asia,Medium,Foucsed,Very High,Public,1201,1001,8.08,6.4,3.6,12.8,10.3,9.6,11.9,12.4,1.9,9.8,-200
Shahjalal University of Science and Technology,Bangladesh,Asia,Medium,Foucsed,Very High,Public,1201,1401,8.28,7.6,11.8,11.8,5.3,12.5,9.6,12.8,3.9,1,200
Shanghai International Studies University,China (Mainland),Asia,Large,Specialist,Very High,Public,1201,1001,7.22,4.9,2.9,16.7,1.8,26.9,27.3,5.4,5.2,1,-200
Shanghai University of Finance and Economics,China (Mainland),Asia,Large,Foucsed,Very High,Public,1201,1201,7.55,4.5,5.2,8.9,3.5,15.5,2.1,14.9,42.6,1.4,0
Siksha 'O' Anusandhan (Deemed to be University),India,Asia,Medium,Foucsed,Very High,Private,1201,1201,8.83,7.5,3.6,34.3,5.3,2.2,2.2,23.7,1.9,1,0
Sookmyung Women's University,South Korea,Asia,Medium,Comprehensive,High,Semi-Autonomous,1201,1201,6.51,4.4,5.6,29,3.4,4,2.2,4.8,1.8,2.6,0
Suez Canal University,Egypt,Africa,Extra Large,Full Comprehensive,High,Public,1201,1201,6.56,4.1,2.6,13.1,2.3,2.1,1.8,48.9,2.4,8.3,0
Suleyman Demirel University,Turkey,Asia,Extra Large,Full Comprehensive,Medium,Public,1201,1201,5.62,7.1,5.3,3.9,2.4,1.7,4.6,27.3,2,1,0
Suleyman Demirel University  Kazakhstan,Kazakhstan,Asia,Medium,Foucsed,Medium,Private,1201,1201,6.22,9,11,4.1,1.3,6.2,2,5.7,3.3,6.75,0
Suranaree University of Technology,Thailand,Asia,Large,Full Comprehensive,High,Public,1201,1201,6.7,6.4,2.8,3.7,9.6,5.8,1.6,30,2.7,1.3,0
Tamkang University,Taiwan,Asia,Large,Foucsed,Very High,Semi-Autonomous,1201,1201,7.19,5.7,4.9,4,5,6,7.4,14.2,29.2,10.1,0
Tanta University,Egypt,Africa,Extra Large,Full Comprehensive,High,Public,1201,1201,7.56,6.9,5.5,4.5,2.2,1.5,1.5,65.2,4.3,3.1,0
Technical University of Cluj-Napoca,Romania,Europe,Large,Specialist,Very High,Public,1201,1201,6.43,4.6,7.1,7.6,3.9,2.1,2.7,38.1,3.8,2.1,0
Technical University of Liberec,Czech Republic,Europe,Medium,Specialist,Very High,Public,1201,1001,8.59,3.9,2.2,37.6,4.6,11.2,8.7,25.5,1.7,1,-200
Technical University of Lublin,Poland,Europe,Medium,Foucsed,Very High,Public,1201,1201,6.62,5.8,2.1,18.4,3.7,12.5,10.2,12.9,3.1,1,0
Technische Universität Kaiserslautern,Germany,Europe,Large,Comprehensive,Very High,Public,1201,1401,8.96,6.3,2.4,17,4.6,12.5,9.6,56.4,2.2,1.1,200
"The ""Gheorghe Asachi"" Technical University of Iasi",Romania,Europe,Large,Specialist,Very High,Public,1201,1201,7.3,5.3,9.7,2.4,6,12.5,4.6,34.1,4,1,0
The Herzen State Pedagogical University of Russia,Russia,Europe,Large,Foucsed,High,Public,1201,1201,6.78,3.8,2,20.1,1.2,1.4,41.1,12.7,5.5,1,0
The Josip Juraj Strossmayer University of Osijek,Croatia,Europe,Large,Comprehensive,High,Public,1201,1201,9.49,4.3,2,28.6,3.1,12.5,9.6,54,11.2,1,0
"The National Research University ""Belgorod State University""",Russia,Europe,Large,Full Comprehensive,High,Public,1201,1201,7,3.5,1.3,15.6,1.9,2.2,49.8,21.4,2,1,0
Tokai University,Japan,Asia,Large,Full Comprehensive,High,Private,1201,1001,7.74,10.5,5.8,13.6,2.8,5.6,2.9,24.5,1.8,1.3,-200
Tomas Bata University in Zlin,Czech Republic,Europe,Medium,Comprehensive,Very High,Public,1201,1001,8.3,4.5,8.4,9.3,5.5,23.6,18.8,25.8,4,1.1,-200
Toraighyrov University,Kazakhstan,Asia,Medium,Foucsed,High,Public,1201,1201,6.2,8.5,4.8,17.8,1.2,6.8,3.1,3.9,3.3,1,0
Transilvania University of Brasov,Romania,Europe,Large,Full Comprehensive,High,Public,1201,1201,7.03,6.4,5.5,5.1,3.7,5.4,2.1,48.1,4,1,0
Tunghai University,Taiwan,Asia,Large,Comprehensive,High,Semi-Autonomous,1201,1201,7.47,6.5,5.4,4.6,5.4,8.4,8.8,24.4,13.8,7.9,0
Universidad Autónoma de Guadalajara (UAG),Mexico,Americas,Medium,Full Comprehensive,Medium,Semi-Autonomous,1201,1001,8.29,6.5,3.8,19.6,1.1,37.9,23,2.1,2,6.75,-200
Universidad Autónoma del Estado de Hidalgo (UAEH),Mexico,Americas,Extra Large,Full Comprehensive,Medium,Public,1201,1001,7.65,3.2,6,45.2,1.4,2,1.6,8.3,2.1,5.8,-200
Universidad Católica del Norte,Chile,Americas,Medium,Full Comprehensive,High,Private,1201,1201,7.24,4.5,2.3,6.7,5.9,13.5,3.8,46.2,2,8.5,0
Universidad Central del Ecuador,Ecuador,Americas,Large,Full Comprehensive,Medium,Public,1201,1201,7.04,8.1,3.6,11.3,1.2,12.5,9.6,10.1,20.9,1,0
Universidad de Las Américas (UDLA) Ecuador,Ecuador,Americas,Large,Comprehensive,Medium,Private,1201,1201,6.9,8.3,3.8,13.3,1.7,19.2,2.5,15.7,4.9,1,0
Universidad de Monterrey (UDEM),Mexico,Americas,Medium,Foucsed,High,Private,1201,1001,8.14,12.5,13,7.5,1.5,13.7,3.7,4.4,4.8,1.3,-200
Universidad de Oriente Santiago de Cuba,Cuba,Americas,Large,Foucsed,Medium,Public,1201,1001,8.27,8.4,5.2,29.8,1.1,12.5,9.6,7.3,5,1,-200
Universidad de Panama,Panama,Americas,Extra Large,Foucsed,Medium,Public,1201,1201,6.64,6.6,5.5,2.9,1.1,4.6,2.7,9,49.1,1,0
Universidad de Piura,Peru,Americas,Medium,Foucsed,High,Private,1201,1201,5.78,7.5,10.7,5,1.2,5.7,1.1,3.3,12.5,1,0
Universidad de San Carlos de Guatemala - USAC,Guatemala,Americas,Extra Large,Full Comprehensive,Low,Public,1201,1201,8.74,10.2,3.9,4.7,1,12.5,9.6,9.4,56,1,0
Universidad de Tarapaca,Chile,Americas,Medium,Foucsed,Very High,Public,1201,1401,6.84,3.5,1.6,2.4,9.8,12.5,9.6,41.7,2.1,1,200
