country,year,indicator,value,category
Fiji,2005,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,0.39,attainment
Fiji,2005,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),2.0,attainment
Fiji,2005,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,7.08,attainment
Fiji,2005,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),17.2,attainment
Fiji,2005,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,7.94,attainment
Fiji,2005,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),11.8,attainment
Fiji,2005,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,12.78,attainment
Fiji,2005,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),20.8,attainment
Fiji,2005,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,10.21,attainment
Fiji,2005,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),16.3,attainment
Fiji,2005,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,7.68,attainment
Fiji,2005,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),11.0,attainment
Fiji,2005,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,7.67,attainment
Fiji,2005,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),11.0,attainment
Fiji,2005,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,6.16,attainment
Fiji,2005,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),8.8,attainment
Fiji,2005,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,6.18,attainment
Fiji,2005,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),8.8,attainment
Fiji,2005,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,4.55,attainment
Fiji,2005,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),6.6,attainment
Fiji,2005,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,4.67,attainment
Fiji,2005,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),6.6,attainment
Fiji,2005,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary,3.06,attainment
Fiji,2005,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.4,attainment
Fiji,2005,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary,3.07,attainment
Fiji,2005,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.4,attainment
Fiji,2005,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Completed Tertiary,2.98,attainment
Fiji,2005,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),4.3,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 15+, female",0.78,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 15+, total",0.75,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",0.0,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",0.0,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",0.17,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",0.11,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 25+, female",0.92,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 25+, total",0.9,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",1.01,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",0.85,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",1.33,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",1.17,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",1.28,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",1.14,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",1.32,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",1.18,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",1.1,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",1.02,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",1.15,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",1.06,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",0.85,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",0.87,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",0.84,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",0.86,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",0.5,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",0.59,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",0.46,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",0.57,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 75+, female",0.15,attainment
Finland,2005,"Barro-Lee: Average years of tertiary schooling, age 75+, total",0.15,attainment
Finland,2005,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,10.93,attainment
Finland,2005,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),28.12,attainment
Finland,2005,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,0.0,attainment
Finland,2005,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.0,attainment
Finland,2005,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,1.7,attainment
Finland,2005,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),6.65,attainment
Finland,2005,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,13.7,attainment
Finland,2005,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),32.24,attainment
Finland,2005,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,9.79,attainment
Finland,2005,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),40.72,attainment
Finland,2005,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,14.44,attainment
Finland,2005,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),52.02,attainment
Finland,2005,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,15.48,attainment
Finland,2005,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),48.27,attainment
Finland,2005,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,17.87,attainment
Finland,2005,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),48.27,attainment
Finland,2005,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,16.45,attainment
Finland,2005,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),38.46,attainment
Finland,2005,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,19.0,attainment
Finland,2005,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),38.46,attainment
Finland,2005,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,15.36,attainment
Finland,2005,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),26.92,attainment
Finland,2005,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,15.19,attainment
Finland,2005,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),26.92,attainment
Finland,2005,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,9.4,attainment
Finland,2005,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),15.76,attainment
Finland,2005,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,7.14,attainment
Finland,2005,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),15.76,attainment
Finland,2005,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary,2.09,attainment
Finland,2005,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),5.44,attainment
Finland,2005,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,11.7,attainment
Finland,2005,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),25.84,attainment
Finland,2005,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,0.0,attainment
Finland,2005,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),0.0,attainment
Finland,2005,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,1.28,attainment
Finland,2005,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),4.05,attainment
Finland,2005,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,14.96,attainment
Finland,2005,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),30.04,attainment
Finland,2005,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,10.53,attainment
Finland,2005,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),32.01,attainment
Finland,2005,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,15.64,attainment
Finland,2005,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),42.87,attainment
Finland,2005,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,16.45,attainment
Finland,2005,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),40.65,attainment
Finland,2005,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,18.24,attainment
Finland,2005,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),40.65,attainment
Finland,2005,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,17.0,attainment
Finland,2005,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),34.17,attainment
Finland,2005,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,18.86,attainment
Finland,2005,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),34.17,attainment
Finland,2005,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,16.56,attainment
Finland,2005,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),27.06,attainment
Finland,2005,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,15.89,attainment
Finland,2005,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),27.06,attainment
Finland,2005,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary,11.16,attainment
Finland,2005,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.16,attainment
Finland,2005,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary,10.29,attainment
Finland,2005,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.16,attainment
Finland,2005,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Completed Tertiary,2.64,attainment
Finland,2005,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),5.01,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 15+, female",0.52,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 15+, total",0.55,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",0.03,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",0.04,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",0.66,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",0.58,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 25+, female",0.56,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 25+, total",0.6,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",1.24,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",1.2,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",1.1,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",1.06,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",0.71,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",0.71,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",0.71,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",0.71,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",0.52,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",0.53,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",0.52,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",0.53,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",0.39,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",0.43,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",0.39,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",0.45,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",0.16,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",0.23,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",0.19,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",0.25,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 75+, female",0.29,attainment
France,2005,"Barro-Lee: Average years of tertiary schooling, age 75+, total",0.32,attainment
France,2005,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,7.47,attainment
France,2005,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),18.77,attainment
France,2005,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,0.29,attainment
France,2005,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.14,attainment
France,2005,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,6.57,attainment
France,2005,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),26.29,attainment
France,2005,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,8.31,attainment
France,2005,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),19.64,attainment
France,2005,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,17.52,attainment
France,2005,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),44.35,attainment
France,2005,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,15.54,attainment
France,2005,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),39.35,attainment
France,2005,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,10.01,attainment
France,2005,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),25.34,attainment
France,2005,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,10.01,attainment
France,2005,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),25.34,attainment
France,2005,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,7.32,attainment
France,2005,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.54,attainment
France,2005,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,7.32,attainment
France,2005,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.54,attainment
France,2005,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,5.52,attainment
France,2005,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),13.98,attainment
France,2005,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,5.76,attainment
France,2005,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),13.98,attainment
France,2005,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,2.41,attainment
France,2005,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),5.84,attainment
France,2005,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,3.52,attainment
France,2005,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),5.84,attainment
France,2005,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Completed Tertiary,4.76,attainment
France,2005,Barro-Lee: Percentage of female population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),9.83,attainment
France,2005,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,8.71,attainment
France,2005,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),18.61,attainment
France,2005,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary,0.38,attainment
France,2005,Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.43,attainment
France,2005,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Completed Tertiary,6.05,attainment
France,2005,Barro-Lee: Percentage of population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),22.91,attainment
France,2005,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,10.02,attainment
France,2005,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),19.81,attainment
France,2005,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Completed Tertiary,19.06,attainment
France,2005,Barro-Lee: Percentage of population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),40.76,attainment
France,2005,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Completed Tertiary,16.92,attainment
France,2005,Barro-Lee: Percentage of population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),36.19,attainment
France,2005,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Completed Tertiary,11.24,attainment
France,2005,Barro-Lee: Percentage of population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),24.04,attainment
France,2005,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Completed Tertiary,11.24,attainment
France,2005,Barro-Lee: Percentage of population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),24.04,attainment
France,2005,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Completed Tertiary,8.42,attainment
France,2005,Barro-Lee: Percentage of population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.0,attainment
France,2005,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Completed Tertiary,8.42,attainment
France,2005,Barro-Lee: Percentage of population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),18.0,attainment
France,2005,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Completed Tertiary,6.89,attainment
France,2005,Barro-Lee: Percentage of population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),14.74,attainment
France,2005,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Completed Tertiary,7.83,attainment
France,2005,Barro-Lee: Percentage of population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),14.74,attainment
France,2005,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Completed Tertiary,4.01,attainment
France,2005,Barro-Lee: Percentage of population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),7.55,attainment
France,2005,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Completed Tertiary,4.9,attainment
France,2005,Barro-Lee: Percentage of population age 70-74 with tertiary schooling. Total (Incomplete and Completed Tertiary),7.55,attainment
France,2005,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Completed Tertiary,6.15,attainment
France,2005,Barro-Lee: Percentage of population age 75+ with tertiary schooling. Total (Incomplete and Completed Tertiary),9.79,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 15+, female",0.48,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 15+, total",0.33,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 15-19, female",0.16,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 15-19, total",0.12,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",0.67,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",0.36,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 25+, female",0.54,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 25+, total",0.39,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",0.72,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",0.48,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 30-34, female",0.69,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 30-34, total",0.53,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 35-39, female",0.68,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 35-39, total",0.51,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 40-44, female",0.68,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 40-44, total",0.51,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 45-49, female",0.53,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 45-49, total",0.38,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 50-54, female",0.53,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 50-54, total",0.38,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 55-59, female",0.2,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 55-59, total",0.12,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 60-64, female",0.2,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 60-64, total",0.12,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 65-69, female",0.06,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 65-69, total",0.04,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 70-74, female",0.04,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 70-74, total",0.02,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 75+, female",0.02,attainment
Gabon,2005,"Barro-Lee: Average years of tertiary schooling, age 75+, total",0.01,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary,8.38,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Total (Incomplete and Completed Tertiary),15.47,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary,1.23,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Total (Incomplete and Completed Tertiary),6.6,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Completed Tertiary,10.25,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 20-24 with tertiary schooling. Total (Incomplete and Completed Tertiary),23.15,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,10.69,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Total (Incomplete and Completed Tertiary),16.13,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Completed Tertiary,13.98,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 25-29 with tertiary schooling. Total (Incomplete and Completed Tertiary),22.02,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Completed Tertiary,13.47,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 30-34 with tertiary schooling. Total (Incomplete and Completed Tertiary),20.9,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Completed Tertiary,14.15,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 35-39 with tertiary schooling. Total (Incomplete and Completed Tertiary),20.06,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Completed Tertiary,14.08,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 40-44 with tertiary schooling. Total (Incomplete and Completed Tertiary),20.06,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Completed Tertiary,10.64,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 45-49 with tertiary schooling. Total (Incomplete and Completed Tertiary),15.69,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Completed Tertiary,10.67,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 50-54 with tertiary schooling. Total (Incomplete and Completed Tertiary),15.69,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Completed Tertiary,3.83,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 55-59 with tertiary schooling. Total (Incomplete and Completed Tertiary),6.03,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Completed Tertiary,3.92,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 60-64 with tertiary schooling. Total (Incomplete and Completed Tertiary),6.03,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Completed Tertiary,1.22,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 65-69 with tertiary schooling. Total (Incomplete and Completed Tertiary),1.89,attainment
Gabon,2005,Barro-Lee: Percentage of female population age 70-74 with tertiary schooling. Completed Tertiary,0.81,attainment
